process_id,gen_num,gen_index,individual,fitness
0,1,0,3,-0.8726450359949283
0,1,1,4,-3.119466038923072
0,1,2,5,-1.384672219670181
0,1,3,6,1.8401429950366641
0,1,4,7,10.838078966226758
0,1,5,8,-0.08384946365659829
0,1,6,9,0.8043157182146337
0,1,7,10,-2.6015451250797765
0,1,8,11,2.3394121776267376
0,1,9,12,-1.9618963755571812
0,2,0,14,0.22101190901902787
0,2,1,15,0.9144886557491275
0,2,2,16,4.022769889016368
0,2,3,17,4.400410270965575
0,2,4,18,1.573631816230693
0,2,5,19,2.427189619023241
0,2,6,20,0.8859424735547345
0,2,7,21,2.4018446383159295
0,2,8,22,-2.8734739460958254
0,2,9,23,2.439085035385387
0,3,0,25,4.125686082912578
0,3,1,26,1.790997568517622
0,3,2,27,-1.3873757105746827
0,3,3,28,0.11038303142161854
0,3,4,29,-1.0812165426048075
0,3,5,30,1.911765409586455
0,3,6,31,-1.4590322084367675
0,3,7,32,0.03787431713645084
0,3,8,33,-2.6372519409043025
0,3,9,34,2.117802580379359
0,4,0,36,2.6168793959658547
0,4,1,37,0.6132562669528265
0,4,2,38,0.38085380459699936
0,4,3,39,0.26285950025102395
0,4,4,40,0.800375713500675
0,4,5,41,-3.1418754605186994
0,4,6,42,-1.776190833547361
0,4,7,43,2.8779725774771143
0,4,8,44,-0.06541784046970722
0,4,9,45,1.8004275537654881
0,5,0,47,4.660065054103316
0,5,1,48,0.4791315148999131
0,5,2,49,0.15620434898651236
0,5,3,50,4.4336244879605236
0,5,4,51,-1.886207857856324
0,5,5,52,-1.9770117825929525
0,5,6,53,1.2162321328666876
0,5,7,54,3.8610454724413756
0,5,8,55,-0.5200649863639331
0,5,9,56,-2.4565217962483823
0,6,0,58,0.8776945843984606
0,6,1,59,0.6077744046644673
0,6,2,60,-4.373229610907633
0,6,3,61,4.709238937168378
0,6,4,62,0.40470055234640157
0,6,5,63,4.801302998692683
0,6,6,64,-1.208573456034336
0,6,7,65,0.45319541269101865
0,6,8,66,-2.1669814874786315
0,6,9,67,2.1411490349723294
0,7,0,69,-1.2213906394642429
0,7,1,70,-1.2711848579955856
0,7,2,71,0.9679746735291471
0,7,3,72,1.8086461091319534
0,7,4,73,4.826125041267799
0,7,5,74,-2.6986908552485707
0,7,6,75,-1.089913320834043
0,7,7,76,-1.8793710222619386
0,7,8,77,5.686771704267086
0,7,9,78,0.7221221907868548
0,8,0,80,1.6198601718935828
0,8,1,81,4.2872446678649325
0,8,2,82,-5.131340652397669
0,8,3,83,-1.782179312538185
0,8,4,84,1.0800212012531252
0,8,5,85,0.8026225612577566
0,8,6,86,-1.9581496317653482
0,8,7,87,3.5622010684787533
0,8,8,88,-1.920327695337421
0,8,9,89,-0.07832066376150157
0,9,0,91,0.047700708823198934
0,9,1,92,-1.003039596393319
0,9,2,93,0.8572709366735465
0,9,3,94,-1.1693876479619194
0,9,4,95,-2.5573665757438113
0,9,5,96,-2.22068525188309
0,9,6,97,-3.1118310362248245
0,9,7,98,1.7868860419549166
0,9,8,99,-0.7198977319711615
0,9,9,100,0.16845408258563913
0,10,0,102,-7.7109771509307405
0,10,1,103,-0.6241001379933566
0,10,2,104,4.163083947753012
0,10,3,105,3.0186840494004255
0,10,4,106,2.415125283785947
0,10,5,107,-0.8891768170264204
0,10,6,108,-2.8590111988904714
0,10,7,109,0.7544480368272637
0,10,8,110,1.3002926218029627
0,10,9,111,-1.2277048672908577
0,11,0,113,0.4127742100190863
0,11,1,114,-1.8384150536852122
